Tên chung cư,Giá trung bình trên m2,District,Ward,latitude,longitude,,,
Cao Ốc Căn Hộ H2-Hoàng Diệu,62.8,Quận 4,Phường 8,10.7578,106.7013,,,
H3 Hoàng Diệu,65.52,Quận 4,Phường 6,10.7578,106.7013,,,
Khu căn hộ Contrexim - Copac Square,67.06,Quận 4,Phường 13,10.7578,106.7013,,,
Masteri Millennium,90.52,Quận 4,Phường 6,10.7578,106.7013,,,
River Gate,106.27,Quận 4,Phường 6,10.7578,106.7013,,,
Grand Riverside,72.34,Quận 4,Phường 2,10.757,106.704,,,
ICON 56,100.26,Quận 4,Phường 12,10.756,106.707,,,
Saigon Royal Residence,126.96,Quận 4,Phường 12,10.756,106.707,,,
The Everrich Infinity,114.98,Quận 5,Phường 4,10.756,106.666,,,
The Tresor,109.5,Quận 4,Phường 12,10.756,106.707,,,
Căn hộ Nhất Lan,32.74,Bình Tân,Phường Tân Tạo,10.754,106.59,,,
Chung cư 155 Nguyễn Chí Thanh,63.9,Quận 5,Phường 9,10.754,106.6633,,,
Chung cư Phúc Thịnh,61.53,Quận 5,Phường 1,10.754,106.6633,,,
Hùng Vương Plaza,70.72,Quận 5,Phường 12,10.754,106.6633,,,
Kiều by KITA,150.78,Quận 5,Phường 1,10.754,106.6633,,,
Tản Đà Court,78.12,Quận 5,Phường 11,10.754,106.6633,,,
Venus Luxury,80,Quận 5,Phường 12,10.754,106.6633,,,
Vĩnh Lộc D’Gold,25.56,Huyện Bình Chánh,Xã Vĩnh Lộc A,10.753,106.583,,,
Asiana Capella,56.13,Quận 6,Phường 10,10.752,106.628,,,
Căn hộ Nhất Lan 3,39.37,Bình Tân,Phường Tân Tạo A,10.752,106.586,,,
The Western Capital,45.75,Quận 6,Phường 10,10.752,106.628,,,
Moonlight Park View,57.66,Quận Bình Tân,Phường An Lạc A,10.751,106.594,,,
Ascent Lakeside,59.77,Quận 7,Phường Tân Thuận Tây,10.749,106.729,,,
Căn hộ Riva Park,68.86,Quận 4,Phường 18,10.749,106.709,,,
Eco Green Sài Gòn,93,Quận 7,Phường Tân Thuận Tây,10.749,106.729,,,
An Phú Apartment,45.95,Quận 6,Phường 11,10.748,106.6352,,,
D-Homme,74.57,Quận 6,Phường 6,10.748,106.6352,,,
Him Lam Chợ Lớn,55.37,Quận 6,Phường 11,10.748,106.6352,,,
Khu căn hộ Bình Phú,38.6,Quận 6,Phường 11,10.748,106.6352,,,
Saigon Asiana,60.53,Quận 6,Phường 12,10.748,106.6352,,,
Viva Riverside,50.23,Quận 6,Phường 3,10.748,106.6352,,,
Lucky Palace,60.58,Quận 6,Phường 2,10.7476,106.633,,,
Căn hộ An Viên,54.75,Quận 7,Phường Tân Thuận Đông,10.747,106.735,,,
Jamona Heights,63.7,Quận 7,Phường Tân Thuận Đông,10.747,106.735,,,
Khu căn hộ An Hòa,42.04,Quận 7,Phường Tân Thuận Đông,10.747,106.735,,,
Angia Star,37.54,Quận Bình Tân,Phường Tân Tạo,10.745,106.587,,,
Căn hộ Florita,68.94,Quận 7,Phường Tân Hưng,10.743,106.72,,,
Him Lam Riverside,71.6,Quận 7,Phường Tân Hưng,10.743,106.72,,,
Hoàng Anh Gia Lai 1,41.82,Quận 7,Phường Tân Hưng,10.743,106.72,,,
Hoàng Anh Thanh Bình,50.68,Quận 7,Phường Tân Hưng,10.743,106.72,,,
Summer Square,50.2,Quận 6,Phường 14,10.743,106.628,,,
Sunrise City,80.55,Quận 7,Phường Tân Hưng,10.743,106.72,,,
Sunrise City View,71.64,Quận 7,Phường Tân Hưng,10.743,106.72,,,
An Gia Riverside,61.03,Quận 7,Phường Phú Thuận,10.742,106.728,,,
An Gia Skyline,64.4,Quận 7,Phường Phú Thuận,10.742,106.728,,,
D-Vela,46.24,Quận 7,Phường Phú Thuận,10.742,106.728,,,
Jamona City,55.07,Quận 7,Phường Phú Thuận,10.742,106.728,,,
La Casa,45.83,Quận 7,Phường Phú Thuận,10.742,106.728,,,
LuxGarden,44.98,Quận 7,Phường Phú Thuận,10.742,106.728,,,
Panomax River Villas,78.51,Quận 7,Phường Phú Thuận,10.742,106.728,,,
Q7 Saigon Riverside,57.91,Quận 7,Phường Phú Thuận,10.742,106.728,,,
River Panorama,71.78,Quận 7,Phường Phú Thuận,10.742,106.728,,,
Sky 89,75.66,Quận 7,Phường Phú Thuận,10.742,106.728,,,
Sunshine Diamond River,106.84,Quận 7,Phường Phú Thuận,10.742,106.728,,,
Tulip Tower,39.94,Quận 7,Phường Phú Thuận,10.742,106.728,,,
V-Star,45.3,Quận 7,Phường Phú Thuận,10.742,106.728,,,
Central Premium,71.92,Quận 8,Phường 5,10.739,106.631,,,
Chung cư Bông Sao,51.78,Quận 8,Phường 5,10.739,106.631,,,
Him Lam Nam Khánh,46.74,Quận 8,Phường 5,10.739,106.631,,,
Khu căn hộ Chánh Hưng - Giai Việt,48,Quận 8,Phường 5,10.739,106.631,,,
Samland Giai Việt,49.25,Quận 8,Phường 5,10.739,106.631,,,
M-One Nam Sài Gòn,62.79,Quận 7,Phường Tân Kiểng,10.737,106.726,,,
Căn hộ Luxcity,59.27,Quận 7,Phường Bình Thuận,10.735,106.713,,,
