TenChungCu,GiaTrenM2,District,Ward,latitude,longitude,Quan_huyen_goc,Phuong_xa,Quan_huyen,dist_hospital_m,dist_mall_m,dist_metro_m,dist_university_m,Dien_tich_km2,SoChungCu,MatDoChungCu,hospital_cnt,mall_cnt,metro_cnt,university_cnt,price_segment,dist_hospital_discrete,dist_mall_discrete,dist_metro_discrete,dist_university_discrete,district_discrete
Sky 9,51.22,Quận 9,Phường Phú Hữu,10.813,106.788,Quận 9,Phước Long B,Thành phố Thủ Đức,1656.4218422541546,3658.7077635912824,3391.4942924182983,2162.4843165148927,5.864574508305687,16,2.7282456685203753,0,0,0,0,Trung bình,Xa,Xa,Xa,Xa,Quận 9
The Eastern,44.45,Quận 9,Phường Phú Hữu,10.813,106.788,Quận 9,Phước Long B,Thành phố Thủ Đức,1656.4218422541546,3658.7077635912824,3391.4942924182983,2162.4843165148927,5.864574508305687,16,2.7282456685203753,0,0,0,0,Thấp,Xa,Xa,Xa,Xa,Quận 9
Căn hộ The Albany,140.15,Quận 2,Phường Thảo Điền,10.802,106.735,Quận 2,Thảo Điền,Thành phố Thủ Đức,556.0621346636232,221.16259960893765,223.085489694452,590.3330086617713,3.7747470349535512,15,3.973776218936636,1,2,2,1,Cao,Gần,Gần,Gần,Gần,Quận 2
D'Edge Thảo Điền,147.62,Quận 2,Phường Thảo Điền,10.802,106.735,Quận 2,Thảo Điền,Thành phố Thủ Đức,556.0621346636232,221.16259960893765,223.085489694452,590.3330086617713,3.7747470349535512,15,3.973776218936636,1,2,2,1,Cao,Gần,Gần,Gần,Gần,Quận 2
Gateway Thảo Điền,181.56,Quận 2,Phường Thảo Điền,10.802,106.735,Quận 2,Thảo Điền,Thành phố Thủ Đức,556.0621346636232,221.16259960893765,223.085489694452,590.3330086617713,3.7747470349535512,15,3.973776218936636,1,2,2,1,Rất cao,Gần,Gần,Gần,Gần,Quận 2
Hoàng Anh River View,76.87,Quận 2,Phường Thảo Điền,10.802,106.735,Quận 2,Thảo Điền,Thành phố Thủ Đức,556.0621346636232,221.16259960893765,223.085489694452,590.3330086617713,3.7747470349535512,15,3.973776218936636,1,2,2,1,Trung bình,Gần,Gần,Gần,Gần,Quận 2
Masteri An Phú,109.08,Quận 2,Phường Thảo Điền,10.802,106.735,Quận 2,Thảo Điền,Thành phố Thủ Đức,556.0621346636232,221.16259960893765,223.085489694452,590.3330086617713,3.7747470349535512,15,3.973776218936636,1,2,2,1,Cao,Gần,Gần,Gần,Gần,Quận 2
Masteri Thảo Điền,120.0,Quận 2,Phường Thảo Điền,10.802,106.735,Quận 2,Thảo Điền,Thành phố Thủ Đức,556.0621346636232,221.16259960893765,223.085489694452,590.3330086617713,3.7747470349535512,15,3.973776218936636,1,2,2,1,Cao,Gần,Gần,Gần,Gần,Quận 2
Q2 Thảo Điền,166.2,Quận 2,Phường Thảo Điền,10.802,106.735,Quận 2,Thảo Điền,Thành phố Thủ Đức,556.0621346636232,221.16259960893765,223.085489694452,590.3330086617713,3.7747470349535512,15,3.973776218936636,1,2,2,1,Rất cao,Gần,Gần,Gần,Gần,Quận 2
River Garden,92.96,Quận 2,Phường Thảo Điền,10.802,106.735,Quận 2,Thảo Điền,Thành phố Thủ Đức,556.0621346636232,221.16259960893765,223.085489694452,590.3330086617713,3.7747470349535512,15,3.973776218936636,1,2,2,1,Cao,Gần,Gần,Gần,Gần,Quận 2
Thảo Điền Green,218.01,Quận 2,Phường Thảo Điền,10.802,106.735,Quận 2,Thảo Điền,Thành phố Thủ Đức,556.0621346636232,221.16259960893765,223.085489694452,590.3330086617713,3.7747470349535512,15,3.973776218936636,1,2,2,1,Rất cao,Gần,Gần,Gần,Gần,Quận 2
Thảo Điền Pearl,105.97,Quận 2,Phường Thảo Điền,10.802,106.735,Quận 2,Thảo Điền,Thành phố Thủ Đức,556.0621346636232,221.16259960893765,223.085489694452,590.3330086617713,3.7747470349535512,15,3.973776218936636,1,2,2,1,Cao,Gần,Gần,Gần,Gần,Quận 2
The Ascent,104.78,Quận 2,Phường Thảo Điền,10.802,106.735,Quận 2,Thảo Điền,Thành phố Thủ Đức,556.0621346636232,221.16259960893765,223.085489694452,590.3330086617713,3.7747470349535512,15,3.973776218936636,1,2,2,1,Cao,Gần,Gần,Gần,Gần,Quận 2
The Nassim Thảo Điền,162.36,Quận 2,Phường Thảo Điền,10.802,106.735,Quận 2,Thảo Điền,Thành phố Thủ Đức,556.0621346636232,221.16259960893765,223.085489694452,590.3330086617713,3.7747470349535512,15,3.973776218936636,1,2,2,1,Rất cao,Gần,Gần,Gần,Gần,Quận 2
Thủ Thiêm Sky,81.1,Quận 2,Phường Thảo Điền,10.802,106.735,Quận 2,Thảo Điền,Thành phố Thủ Đức,556.0621346636232,221.16259960893765,223.085489694452,590.3330086617713,3.7747470349535512,15,3.973776218936636,1,2,2,1,Cao,Gần,Gần,Gần,Gần,Quận 2
Tropic Garden,94.98,Quận 2,Phường Thảo Điền,10.802,106.735,Quận 2,Thảo Điền,Thành phố Thủ Đức,556.0621346636232,221.16259960893765,223.085489694452,590.3330086617713,3.7747470349535512,15,3.973776218936636,1,2,2,1,Cao,Gần,Gần,Gần,Gần,Quận 2
Xi Riverview Palace,129.04,Quận 2,Phường Thảo Điền,10.802,106.735,Quận 2,Thảo Điền,Thành phố Thủ Đức,556.0621346636232,221.16259960893765,223.085489694452,590.3330086617713,3.7747470349535512,15,3.973776218936636,1,2,2,1,Cao,Gần,Gần,Gần,Gần,Quận 2
Diamond Island,120.4,Quận 2,Phường Bình Trưng Tây,10.8,106.754,Quận 2,An Phú,Thành phố Thủ Đức,1049.3896015667779,624.8770635114923,956.4347855797552,2602.1533516568165,10.217398556534652,42,4.110635380190629,2,2,1,0,Cao,Gần,Gần,Gần,Xa,Quận 2
Homyland,52.53,Quận 2,Phường Bình Trưng Tây,10.8,106.754,Quận 2,An Phú,Thành phố Thủ Đức,1049.3896015667779,624.8770635114923,956.4347855797552,2602.1533516568165,10.217398556534652,42,4.110635380190629,2,2,1,0,Trung bình,Gần,Gần,Gần,Xa,Quận 2
Homyland 2,58.58,Quận 2,Phường Bình Trưng Tây,10.8,106.754,Quận 2,An Phú,Thành phố Thủ Đức,1049.3896015667779,624.8770635114923,956.4347855797552,2602.1533516568165,10.217398556534652,42,4.110635380190629,2,2,1,0,Trung bình,Gần,Gần,Gần,Xa,Quận 2
La Astoria,54.75,Quận 2,Phường Bình Trưng Tây,10.8,106.754,Quận 2,An Phú,Thành phố Thủ Đức,1049.3896015667779,624.8770635114923,956.4347855797552,2602.1533516568165,10.217398556534652,42,4.110635380190629,2,2,1,0,Trung bình,Gần,Gần,Gần,Xa,Quận 2
Cao ốc Thịnh Vượng,46.45,Quận 2,Phường Bình Trưng Đông,10.796,106.765,Quận 2,An Phú,Thành phố Thủ Đức,1043.567358168414,855.8087473787018,1749.0393786421546,2935.7626550959235,10.217398556534652,42,4.110635380190629,2,2,1,0,Thấp,Gần,Gần,Xa,Xa,Quận 2
Chung cư Petroland Quận 2,50.0,Quận 2,Phường Bình Trưng Đông,10.796,106.765,Quận 2,An Phú,Thành phố Thủ Đức,1043.567358168414,855.8087473787018,1749.0393786421546,2935.7626550959235,10.217398556534652,42,4.110635380190629,2,2,1,0,Trung bình,Gần,Gần,Xa,Xa,Quận 2
Homyland Riverside,59.05,Quận 2,Phường Bình Trưng Đông,10.796,106.765,Quận 2,An Phú,Thành phố Thủ Đức,1043.567358168414,855.8087473787018,1749.0393786421546,2935.7626550959235,10.217398556534652,42,4.110635380190629,2,2,1,0,Trung bình,Gần,Gần,Xa,Xa,Quận 2
Kris Vue,56.83,Quận 2,Phường Bình Trưng Đông,10.796,106.765,Quận 2,An Phú,Thành phố Thủ Đức,1043.567358168414,855.8087473787018,1749.0393786421546,2935.7626550959235,10.217398556534652,42,4.110635380190629,2,2,1,0,Trung bình,Gần,Gần,Xa,Xa,Quận 2
PARCSpring,64.45,Quận 2,Phường Bình Trưng Đông,10.796,106.765,Quận 2,An Phú,Thành phố Thủ Đức,1043.567358168414,855.8087473787018,1749.0393786421546,2935.7626550959235,10.217398556534652,42,4.110635380190629,2,2,1,0,Trung bình,Gần,Gần,Xa,Xa,Quận 2
The Krista,64.88,Quận 2,Phường Bình Trưng Đông,10.796,106.765,Quận 2,An Phú,Thành phố Thủ Đức,1043.567358168414,855.8087473787018,1749.0393786421546,2935.7626550959235,10.217398556534652,42,4.110635380190629,2,2,1,0,Trung bình,Gần,Gần,Xa,Xa,Quận 2
Thủ Thiêm Star,66.04,Quận 2,Phường Bình Trưng Đông,10.796,106.765,Quận 2,An Phú,Thành phố Thủ Đức,1043.567358168414,855.8087473787018,1749.0393786421546,2935.7626550959235,10.217398556534652,42,4.110635380190629,2,2,1,0,Trung bình,Gần,Gần,Xa,Xa,Quận 2
